crop,temperature,rainfall
rice,21,100- 150 cm
chillies,20,40-100cm 
peanuts,25,50-75 cm
bajra ,30,25-60 cm
banana,30,65-75
beans,21,35-50
lladys finger,28.5,50-100
bottle guard,25.5,any
brinnjal,26,60-100
cabbage,17.5,59-113
castor seed,18,50-60
citrus fruit,32.5,125-185
corriader,20,
cotton,22.5,60-110 cm
cowpea,30.5,78
ginger,23.5,125-250
horse gram,27,50-70
jowar,28.5,40-50
millets,27.5,25-75 cm
maize,21,65-125 cm
massor,20,30-50
moong,22,85-100
onion,15,75-100
turmeric ,25,150-250 cm
urad ,30,60-75
wheat,19,25-75 cm
pulses,22.5,40-45 cm
